timestamp,src_ip,host,method,path,status,bytes_in,bytes_out,user_agent,label,attack_type
2026-01-18T03:19:17Z,10.146.242.106,api.workspace.local,GET,/,200,987,12594,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0,0,
2026-01-25T10:04:26Z,10.68.141.180,intranet.workspace.local,GET,/,200,2197,3344,Mozilla/5.0 (Macintosh; Intel Mac OS X 13_6) Safari/17.0,0,
2026-01-29T00:48:17Z,192.168.212.196,intranet.workspace.local,GET,/profile,200,569,3240,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0,0,
2026-01-21T02:21:37Z,10.248.230.94,intranet.workspace.local,POST,/,200,506,4475,python-requests/2.31.0,0,
2026-01-31T23:04:46Z,10.146.242.106,1uqqo10fw70n9b.com,POST,/settings,200,441,25832,curl/8.4.0,0,
2026-01-31T11:36:33Z,192.168.90.195,intranet.workspace.local,GET,/docs,200,1300,29274,curl/8.4.0,0,
2026-01-24T02:16:26Z,172.28.136.227,intranet.workspace.local,POST,/login,200,623,4199,python-requests/2.31.0,0,
2026-01-17T00:44:34Z,10.194.167.61,intranet.workspace.local,GET,/assets/app.js,200,1814,14197,Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0,0,
2026-01-03T00:13:50Z,10.104.137.183,git.workspace.local,GET,/assets/app.js,200,1524,7213,python-requests/2.31.0,0,
2026-01-26T02:55:44Z,172.22.189.51,git.workspace.local,GET,/docs,302,718,21535,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0,0,
2026-01-20T20:44:26Z,192.168.201.232,api.workspace.local,GET,/.env,200,2446,6807,Mozilla/5.0 (Macintosh; Intel Mac OS X 13_6) Safari/17.0,0,
2026-01-11T07:38:44Z,172.28.14.166,crm.workspace.local,GET,/logout,200,948,7377,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0,0,
2026-01-13T11:00:36Z,172.23.174.82,intranet.workspace.local,GET,/config,403,246,1108,curl/8.4.0,1,WEB_DIR_SCAN
