timestamp,user,app,src_ip,dest_host,user_agent,auth_method,outcome,fail_reason,src_region,label,attack_type
2026-01-15T10:10:59Z,user041,webmail,10.203.29.190,auth-gw2,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0,MFA_TOTP,SUCCESS,,IN-KA,0,
2026-01-17T00:47:01Z,user061,ssh,172.22.23.149,auth-gw1,Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0,SSO_SAML,FAILURE,BAD_PASSWORD,IN-KA,0,
2026-01-07T16:59:37Z,user114,crm,10.33.250.55,auth-gw2,Mozilla/5.0 (Macintosh; Intel Mac OS X 13_6) Safari/17.0,PASSWORD,SUCCESS,,IN-MH,0,
2026-01-01T18:42:40Z,user112,webmail,192.168.157.220,auth-gw1,curl/8.4.0,MFA_TOTP,SUCCESS,,IN-KA,0,
2026-01-11T23:58:21Z,user073,vpn,10.55.57.206,auth-gw2,Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0,MFA_TOTP,SUCCESS,,IN-MH,0,
2026-01-29T13:11:49Z,user101,crm,192.168.12.57,auth-gw1,python-requests/2.31.0,MFA_TOTP,SUCCESS,,IN-DL,0,
2026-01-11T07:05:10Z,user039,hr_portal,192.168.196.115,auth-gw2,Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0,SSO_SAML,SUCCESS,,IN-KA,0,
2026-01-03T16:37:21Z,user068,git,192.168.184.159,auth-gw1,Mozilla/5.0 (Macintosh; Intel Mac OS X 13_6) Safari/17.0,MFA_PUSH,SUCCESS,,IN-MH,0,
2026-01-19T06:13:54Z,user101,git,192.168.239.154,auth-gw1,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0,SSO_SAML,SUCCESS,,IN-DL,0,
2026-01-24T22:45:38Z,user120,git,172.28.35.194,auth-gw2,python-requests/2.31.0,MFA_PUSH,SUCCESS,,IN-KA,0,
2026-01-15T21:01:06Z,user097,wiki,24.127.113.156,auth-gw2,Mozilla/5.0 (Macintosh; Intel Mac OS X 13_6) Safari/17.0,PASSWORD,SUCCESS,,IN-MH,0,
2026-01-30T18:16:53Z,user036,wiki,192.168.79.200,auth-gw2,Mozilla/5.0 (Macintosh; Intel Mac OS X 13_6) Safari/17.0,SSH_KEY,SUCCESS,,IN-MH,0,
2026-01-25T02:12:05Z,user004,ssh,81.216.111.239,auth-gw1,Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0,SSO_SAML,SUCCESS,,IN-DL,0,
2026-01-31T19:21:39Z,user066,hr_portal,192.168.192.39,auth-gw2,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0,MFA_TOTP,FAILURE,UNKNOWN_USER,IN-MH,0,
2026-01-16T18:53:54Z,user034,git,172.28.97.64,auth-gw2,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0,MFA_TOTP,SUCCESS,,IN-DL,0,
2026-01-08T21:26:53Z,user114,hr_portal,172.17.161.140,auth-gw1,Mozilla/5.0 (Macintosh; Intel Mac OS X 13_6) Safari/17.0,SSO_SAML,SUCCESS,,IN-MH,0,
2026-01-11T16:03:00Z,admin01,vpn,172.16.16.219,auth-gw2,Mozilla/5.0 (Macintosh; Intel Mac OS X 13_6) Safari/17.0,PASSWORD,SUCCESS,,SG,0,
2026-01-09T14:27:59Z,user099,hr_portal,10.252.55.191,auth-gw1,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0,PASSWORD,SUCCESS,,IN-KA,0,
2026-01-27T13:07:24Z,user040,git,192.168.85.102,auth-gw2,Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0,SSO_SAML,SUCCESS,,IN-KA,0,
2026-01-31T21:07:51Z,user043,vpn,139.56.230.45,web-portal1,curl/8.4.0,PASSWORD,SUCCESS,,IN-MH,0,
2026-01-19T07:38:43Z,user016,wiki,172.25.62.231,auth-gw2,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0,MFA_TOTP,SUCCESS,,IN-KA,0,
2026-01-05T05:29:44Z,user017,hr_portal,10.13.36.65,web-portal1,Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0,MFA_PUSH,SUCCESS,,IN-MH,0,
2026-01-17T10:08:46Z,user017,webmail,204.27.230.252,web-portal1,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0,PASSWORD,SUCCESS,,IN-MH,0,
2026-01-27T00:43:13Z,user041,git,192.168.188.52,web-portal1,Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0,MFA_TOTP,SUCCESS,,IN-KA,0,
2026-01-19T13:48:06Z,user033,webmail,81.72.184.61,auth-gw1,Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0,PASSWORD,SUCCESS,,IN-KA,0,
2026-01-05T20:30:34Z,user099,crm,54.100.5.63,web-portal1,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0,PASSWORD,SUCCESS,,IN-KA,0,
2026-01-03T03:25:42Z,user110,vpn,10.57.2.155,auth-gw2,python-requests/2.31.0,MFA_PUSH,FAILURE,MFA_FAILED,IN-KA,0,
2026-01-25T21:17:02Z,user056,hr_portal,192.168.231.132,web-portal1,Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0,SSO_SAML,SUCCESS,,IN-DL,0,
2026-01-19T04:30:21Z,user115,crm,172.20.230.58,auth-gw1,curl/8.4.0,PASSWORD,SUCCESS,,IN-DL,0,
2026-01-19T02:30:27Z,user076,git,10.60.94.19,auth-gw1,curl/8.4.0,MFA_PUSH,SUCCESS,,IN-KA,0,
2026-01-18T06:48:03Z,user003,hr_portal,21.94.162.181,web-portal1,python-requests/2.31.0,MFA_PUSH,SUCCESS,,IN-MH,0,
2026-01-25T05:46:46Z,user007,vpn,10.253.220.163,auth-gw1,python-requests/2.31.0,MFA_TOTP,SUCCESS,,IN-MH,0,
2026-01-08T16:43:24Z,user109,hr_portal,172.26.45.22,web-portal1,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0,SSO_SAML,SUCCESS,,IN-MH,0,
2026-01-20T04:03:00Z,user012,ssh,10.133.74.192,auth-gw2,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0,SSH_KEY,SUCCESS,,IN-DL,0,
2026-01-15T11:26:56Z,user005,webmail,172.28.180.221,auth-gw2,curl/8.4.0,PASSWORD,SUCCESS,,IN-KA,0,
2026-01-19T14:00:50Z,user020,crm,192.168.34.110,auth-gw2,python-requests/2.31.0,MFA_PUSH,SUCCESS,,IN-MH,0,
2026-01-18T12:01:32Z,user074,hr_portal,192.168.138.101,auth-gw1,curl/8.4.0,SSO_SAML,SUCCESS,,IN-MH,0,
